Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,254.000000,262.000000,236.000000,242.000000,242.000000,59652200
2018-07-01,242.000000,244.000000,226.000000,228.000000,228.000000,49678500
2018-08-01,230.000000,232.000000,216.000000,218.000000,218.000000,39717800
2018-09-01,218.000000,230.000000,199.000000,206.000000,206.000000,63896500
2018-10-01,206.000000,224.000000,200.000000,202.000000,202.000000,75285700
2018-11-01,202.000000,252.000000,199.000000,222.000000,222.000000,284779100
2018-12-01,222.000000,298.000000,214.000000,298.000000,298.000000,250206000
2019-01-01,298.000000,464.000000,282.000000,454.000000,454.000000,1050781500
2019-02-01,454.000000,560.000000,424.000000,545.000000,545.000000,1784472500
2019-03-01,555.000000,635.000000,450.000000,476.000000,476.000000,1444123700
2019-04-01,474.000000,560.000000,426.000000,466.000000,466.000000,856774800
2019-05-01,466.000000,466.000000,384.000000,432.000000,432.000000,716257400
2019-06-01,432.000000,442.000000,366.000000,366.000000,366.000000,400389500
2019-07-01,366.000000,444.000000,358.000000,400.000000,400.000000,636867600
2019-08-01,400.000000,555.000000,356.000000,488.000000,488.000000,985963300
2019-09-01,488.000000,555.000000,462.000000,510.000000,510.000000,413598800
2019-10-01,510.000000,630.000000,480.000000,590.000000,590.000000,554830000
2019-11-01,590.000000,610.000000,482.000000,496.000000,496.000000,258577700
2019-12-01,496.000000,545.000000,476.000000,498.000000,498.000000,327447900
2020-01-01,498.000000,500.000000,372.000000,404.000000,404.000000,511846500
2020-02-01,396.000000,406.000000,240.000000,250.000000,250.000000,414768300
2020-03-01,254.000000,298.000000,140.000000,181.000000,181.000000,547737700
2020-04-01,183.000000,230.000000,157.000000,188.000000,188.000000,483148600
2020-05-01,188.000000,262.000000,177.000000,238.000000,238.000000,1402322800
2020-06-01,238.000000,310.000000,230.000000,246.000000,246.000000,1044471600
2020-07-01,246.000000,284.000000,240.000000,244.000000,244.000000,1051647700
2020-08-01,246.000000,280.000000,228.000000,252.000000,252.000000,922439500
2020-09-01,252.000000,268.000000,206.000000,214.000000,214.000000,442260800
2020-10-01,214.000000,274.000000,214.000000,240.000000,240.000000,485665200
2020-11-01,240.000000,416.000000,232.000000,378.000000,378.000000,5365108400
2020-12-01,382.000000,478.000000,382.000000,402.000000,402.000000,5022424100
2021-01-01,402.000000,440.000000,280.000000,290.000000,290.000000,2238888900
2021-02-01,280.000000,380.000000,276.000000,360.000000,360.000000,930572800
2021-03-01,362.000000,386.000000,322.000000,332.000000,332.000000,831891800
2021-04-01,334.000000,350.000000,320.000000,324.000000,324.000000,182951400
2021-05-01,330.000000,338.000000,260.000000,264.000000,264.000000,222884100
2021-06-01,260.000000,300.000000,220.000000,222.000000,222.000000,409020800
2021-07-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2021-08-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2021-09-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2021-10-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2021-11-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2021-12-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-01-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-02-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-03-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-04-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-05-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-06-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-10-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-11-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-12-01,222.000000,222.000000,203.554123,203.554123,203.554123,0
2023-01-01,203.554123,224.000000,93.000000,98.000000,98.000000,3703643700
2023-02-01,99.000000,106.000000,93.000000,94.000000,94.000000,5188072700
2023-03-01,94.000000,95.000000,73.000000,74.000000,74.000000,2463449100
2023-04-01,77.000000,80.000000,62.000000,67.000000,67.000000,1242756100
2023-05-01,67.000000,74.000000,50.000000,69.000000,69.000000,3820931400
2023-06-01,69.000000,72.000000,61.000000,64.000000,64.000000,695520900
